Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
1,4,3791,0,32708,435,650,1,15,0,1,0,1,1,24,0
1,4,3889,1,94892,8973,331,41,7,0,0,0,0,0,1,8
1,4,1386,0,4354,35,54,0,27,-0.333,1,0,1,0,0,0
1,4,836,0,13658,227,412,0,18,0,1,0,1,3,2602,0
1,4,2318,0,11751,279,170,0,18,0,1,0,1,3,2602,0
1,4,41,0,1530,231,559,1,11,0,1,0,0,1,0,0
1,4,1769,0,5356,61,52,0,21,0,1,0,0,0,0,0
1,4,6,0,390,38,67,0,18,0,1,0,1,3,2602,0
1,4,483,0,4874,13,98,3,26,0.333,1,0,2,0,0,0
1,4,1677,0,3327,20,1205,0,18,0,1,0,1,3,2602,0
1,4,783,0,368624,566,2960,1,15,0,1,0,1,1,24,0
1,4,839,0,717,35,62,0,18,0,1,0,1,3,2602,0
1,4,2043,0,2907,66,746,0,18,0,1,0,1,3,2602,0
1,4,1150,0,5948,96,184,0,22,-1,0,0,0,0,0,1
1,4,4719,0,59920,551,836,10,33,-1,1,0,1,0,0,0
1,4,4624,0,55696,386,277,6,24,0,1,0,1,0,56,0
1,4,2698,0,94771,435,988,1,18,0,1,0,1,3,2602,0
1,4,4444,0,2773,350,474,0,24,0,1,0,1,0,56,0
1,4,2693,0,28281,308,849,2,18,0,1,0,1,3,2602,0
1,4,4985,0,51825,396,127,2,24,0,1,0,1,0,56,0
1,4,4142,0,16600,321,168,1,24,0,1,0,1,0,56,0
1,4,1654,0,180292,6680,1244,5,16,1,1,0,1,0,0,0
1,4,2273,0,86086,467,467,7,9,0,0,0,0,0,0,0
1,4,1654,0,180292,6680,1244,5,32,0,1,0,1,0,0,0
1,4,4236,0,258883,2870,3309,445,16,0,1,0,1,0,2,0
1,4,3949,0,63463,1479,1527,8,18,0,1,0,1,3,2602,0
1,4,3347,0,7829,446,139,4,18,0,1,0,1,3,2602,0
1,4,4436,0,81936,318,802,10,20,1,1,0,1,1,14,0
1,4,3095,0,221168,584,517,18,18,0,1,0,1,3,2602,0
1,4,50,0,396,102,105,0,19,-1,0,0,0,0,0,0
1,4,887,0,4511,492,1220,0,9,0,0,0,0,0,0,0
1,4,4223,0,5144,426,1112,8,18,0,1,0,1,3,2602,0
1,4,979,0,11769,157,993,0,18,0,1,0,1,3,2602,0
1,4,35,0,1222,18,158,0,18,0,1,0,1,3,2602,0
1,4,3495,0,37675,2556,941,12,30,1,0,0,0,1,0,2
1,4,2032,0,123006,79,654,0,10,0,1,0,1,0,97,0
1,4,2937,0,14001,131,1199,3,20,1,1,0,1,1,14,0
1,4,1183,0,43988,185,152,3,18,0,1,0,1,3,2602,0
1,4,2549,0,43981,918,504,0,18,0,1,0,1,3,2602,0
1,4,3358,0,21191,255,446,0,18,0,1,0,1,3,2602,0
1,4,2855,0,3943,304,574,0,18,0,1,0,1,3,2602,0
1,4,3315,1,8237,10146,2363,59,39,-1,1,0,1,0,0,3
1,4,1502,0,3415,48,302,0,18,0,1,0,1,3,2602,0
1,4,1602,0,12319,48,320,0,18,0,1,0,1,3,2602,0
4,4,4878,0,27138,474,524,3,18,0,1,0,1,3,2602,0
4,4,2877,0,14067,38,369,0,18,0,1,0,1,3,2602,0
4,4,2,0,1,0,1,0,18,0,1,0,1,3,2602,0
4,4,4928,0,56162,665,5000,1,22,0,1,0,1,0,535,0
4,4,78,0,86,78,19,0,51,-1,0,0,0,1,0,3
4,4,527,0,57366,2589,832,10,18,0,1,0,0,0,0,8
4,4,4306,0,416438,2480,2693,77,18,0,1,0,1,3,2602,0
4,4,3978,0,189897,1513,1063,5,18,0,1,0,1,3,2602,0
4,4,4900,0,57895,1635,669,4,18,0,1,0,1,3,2602,0
4,4,3454,0,1766,386,577,0,22,0,1,0,1,0,535,0
4,4,775,0,16241,48,733,0,18,0,1,0,1,3,2602,0
4,4,2770,0,147801,4047,2528,0,18,0,1,0,1,3,2602,0
4,4,494,0,8294,86,641,0,18,0,1,0,1,3,2602,0
4,4,4111,1,459057,124366,974,1540,33,-0.5,1,0,0,0,0,8
4,4,299,0,1090,87,289,0,18,0,1,0,1,3,2602,0
4,4,5113,1,477478,3448277,2693,21592,24,1,0,2,0,1,46,167
3,4,5039,1,98710,4511945,20638,9573,20,1,0,2,1,1,40,211
3,4,4653,1,112739,125960,1026,1132,24,1,1,0,2,0,24,0
2,4,4510,1,12485,59823,1534,512,21,1,1,0,1,0,3,0
2,4,3823,1,9452,36826,526,302,40,1,0,2,0,0,3,7
2,4,3800,1,13017,39812,1331,229,37,0,0,2,0,1,1,8
2,4,430,1,7232,6422,409,31,19,-1,1,0,2,0,1,0
2,4,4920,1,45196,64595,272,379,19,-1,0,2,1,0,1,3
2,4,4756,1,113404,3697292,374,3925,37,-1,0,3,0,1,2,11
2,4,5088,1,23938,58376,1852,861,30,0,0,1,0,0,0,105
1,4,4220,1,208087,4644367,18,6698,17,1,0,2,1,1,0,0
1,4,1086,1,48440,605,3258,9,28,-0.5,0,3,3,0,0,1
4,4,4560,1,8287,46234,263,536,10,1,1,2,1,1,1089,0
4,4,5231,1,16120,29320,24327,698,25,-1,1,1,1,0,1,0
4,4,4972,1,13326,15485,224,113,41,1,0,1,1,1,0,1
3,4,2889,1,22256,22676,7502,277,33,-1,0,1,0,1,3,16
2,4,4837,1,137552,212338,8587,4803,3,1,0,3,0,2,9,15
2,4,4148,1,12816,32744,1068,266,10,1,1,2,1,1,1089,0
1,4,4183,1,36979,113365,1503,879,32,-1,0,5,4,0,0,6
1,4,1234,1,113853557,124661,0,282,2,0,0,1,1,1,0,0
1,4,4427,1,21195,1576271,84,5235,1,0,0,1,0,1,18,51
1,4,3753,1,10124,46873,132,126,10,1,1,2,1,1,1089,0
1,4,2967,1,21582,7674,626,32,8,1,0,2,0,1,0,0
1,4,731,1,611,465,120,4,8,1,0,2,0,1,9,53
4,4,1068,1,1012,8348,60,17,10,1,1,2,1,1,1089,0
4,4,4662,1,4718,3517,385,92,10,1,1,2,1,1,1089,0
4,4,4073,1,6160,7456,394,109,10,1,1,2,1,1,1089,0
4,4,4503,1,6383,59911,709,197,10,1,1,2,1,1,1089,0
4,4,5088,1,6292,581533,1125,2227,10,1,1,2,1,1,1089,0
