Twitter User Duration,Verified User,User Tweet Count,User Followers,Community
842,0,28697,3315,16
72,0,1733,602,16
19,0,1072,1695,16
4969,1,136809,5625999,16
3861,0,93977,9095,16
101,0,24124,3600,16
1345,0,10233,2647766,16
570,0,1895,10309,16
3457,1,86364,2557089,16
666,0,5586,28053,16
1783,1,21119,2670941,16
1770,0,8991,50647,16
1028,0,60941,5611,16
3282,0,21142,204159,16
